Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14338799,2021-04-28 01:20:21,2021-04-28 01:16:41,901621,542243420,901621,601,363,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR14338799/SRR14338799.1,SRX10692719,08A15CRGN018,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784774,SAMN18872758,simple,573,Klebsiella pneumoniae,08A15CRGN018,,,,,,,no,,,,,NML,SRA1224726,,public,A35F7F594ABADCFB193572DE9FD79208,F62CB1C54457EDB644E06E7D9483069C
SRR14338803,2021-04-28 01:20:21,2021-04-28 01:16:29,804440,483866398,804440,601,308,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR14338803/SRR14338803.1,SRX10692715,09A1213CRGN004,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784771,SAMN18872748,simple,573,Klebsiella pneumoniae,09A1213CRGN004,,,,,,,no,,,,,NML,SRA1224726,,public,71B2F1B7686DF18C46768BE930C6B626,DC3DAD9B2E85AC78529D22832A256552
SRR14338811,2021-04-28 01:23:14,2021-04-28 01:18:28,872635,524816897,872635,601,334,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR14338811/SRR14338811.1,SRX10692707,09A16CRGN003,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784763,SAMN18872755,simple,573,Klebsiella pneumoniae,09A16CRGN003A,,,,,,,no,,,,,NML,SRA1224726,,public,0E61585BDE23B00E9D1FE654D30692F7,98C94A217C535FDF98C75135456B0EC0
SRR14338808,2021-04-28 01:23:14,2021-04-28 01:16:57,619602,372635547,619602,601,236,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR14338808/SRR14338808.1,SRX10692710,09A16CRGN004,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784766,SAMN18872756,simple,573,Klebsiella pneumoniae,09A16CRGN004,,,,,,,no,,,,,NML,SRA1224726,,public,7724C6E839CC08E156E1BA2624E92184,CD0259D4DC0BF2981075E3256B1A19C4
SRR14338805,2021-04-28 01:20:21,2021-04-28 01:17:07,763034,458861424,763034,601,288,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR14338805/SRR14338805.1,SRX10692713,09A16CRGN005,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784769,SAMN18872764,simple,550,Enterobacter cloacae,09A16CRGN005,,,,,,,no,,,,,NML,SRA1224726,,public,F8E629016AFC7B219E0B358FFF2C39DF,6C8A91A7C98270988F25649385598907
SRR14338798,2021-04-28 01:19:06,2021-04-28 01:16:23,912722,548879053,912722,601,347,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR14338798/SRR14338798.1,SRX10692720,09A16CRGN006,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784777,SAMN18872765,simple,550,Enterobacter cloacae,09A16CRGN006,,,,,,,no,,,,,NML,SRA1224726,,public,51116F7347524037821CF049E603C074,3DED71D2278CBC448DA7B22E51E7AA0F
SRR14338813,2021-04-28 01:20:21,2021-04-28 01:18:35,968669,582646733,968669,601,402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR14338813/SRR14338813.1,SRX10692705,09A16CRGN007A,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784761,SAMN18872757,simple,573,Klebsiella pneumoniae,09A16CRGN007A,,,,,,,no,,,,,NML,SRA1224726,,public,F0523554094E47484C2BB71F1E6C40F3,CE8D424C1784276F0EA213EADC618EF6
SRR14338800,2021-04-28 01:20:21,2021-04-28 01:16:58,833575,501376134,833575,601,351,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR14338800/SRR14338800.1,SRX10692718,09A17CRGN005,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784775,SAMN18872760,simple,550,Enterobacter cloacae,09A17CRGN005,,,,,,,no,,,,,NML,SRA1224726,,public,48D7FCD6EECE586CD5887804D9F2E103,8DE23AB410269580F922A406C85B6992
SRR14338804,2021-04-28 01:20:21,2021-04-28 01:16:41,660897,397430999,660897,601,242,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR14338804/SRR14338804.1,SRX10692714,09A17CRGN008,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784770,SAMN18872761,simple,571,Klebsiella oxytoca,09A17CRGN008,,,,,,,no,,,,,NML,SRA1224726,,public,FFE08DB45CFF501DBBFF4909D97C01CF,96D9DA8F0988786182AE0209E48DC140
SRR14338815,2021-04-28 01:20:21,2021-04-28 01:18:46,705318,424115707,705318,601,264,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR14338815/SRR14338815.1,SRX10692703,09A17CRGN009,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP316637,PRJNA725227,,725227,SRS8784759,SAMN18872766,simple,562,Escherichia coli,09A17CRGN009,,,,,,,no,,,,,NML,SRA1224726,,public,002175F027CBA195079A4FABA81AAA71,8DDCA434D7DEBD2F7525C6E4ECBBA06E
