Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12458775,2020-08-16 16:07:30,2020-08-16 16:06:10,697949,390382461,0,559,291,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12458775/SRR12458775.1,SRX8953118,S1,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208282,SAMN15793276,simple,646099,human metagenome,S1,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,55728A8433EBCB326344339A46497563,96735ACBEE31C7DD3F8E154C6EB34F5C
SRR12458811,2020-08-16 16:11:32,2020-08-16 16:06:00,67753,39086336,0,576,31,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12458811/SRR12458811.1,SRX8953081,S10,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208245,SAMN15793285,simple,646099,human metagenome,S10,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,F990267645C1F7542D2AE07079573482,8B826FE86D61C294F8247E05FB613113
SRR12458773,2020-08-16 16:09:40,2020-08-16 16:05:54,326098,95106626,0,291,77,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12458773/SRR12458773.1,SRX8953120,S11,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208284,SAMN15793286,simple,646099,human metagenome,S11,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,EEEE415B71EFEAA9F582E682D48A2992,F9286693B419AC90284CE758E992221A
SRR12458772,2020-08-16 16:09:40,2020-08-16 16:06:04,251399,93776112,0,373,69,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR12458772/SRR12458772.1,SRX8953121,S12,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208285,SAMN15793287,simple,646099,human metagenome,S12,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,D5DAB157807B6B4EBEA07AF4F8978183,3C031ADEBD6CE1693B19340D52586FA8
SRR12458812,2020-08-16 16:09:40,2020-08-16 16:05:56,175360,48355890,0,275,38,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12458812/SRR12458812.1,SRX8953122,S13,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208286,SAMN15793288,simple,646099,human metagenome,S13,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,14215FC085352B9266A949E6ABC433FF,4889178D45AD4FDC0946F3FA3AEF5194
SRR12458810,2020-08-16 16:11:32,2020-08-16 16:05:57,107254,36438703,0,339,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12458810/SRR12458810.1,SRX8953082,S14,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208246,SAMN15793289,simple,646099,human metagenome,S14,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,F00EC36AB7AB8EF1751BEC36372AE78B,F42725143B6023056113DE9FBAD23AB1
SRR12458809,2020-08-16 16:07:30,2020-08-16 16:06:37,1780702,417078963,0,234,324,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12458809/SRR12458809.1,SRX8953083,S15,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208247,SAMN15793290,simple,646099,human metagenome,S15,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,DCD5630D31A61267AA2D6F37212730E2,7C097825327A463CFB14C6EA0839A89A
SRR12458808,2020-08-16 16:09:40,2020-08-16 16:05:55,108234,32330800,0,298,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12458808/SRR12458808.1,SRX8953084,S16,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208248,SAMN15793291,simple,646099,human metagenome,S16,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,95BDA1E341BE75E748309FC5C47C1F14,D3E6AB558C5F307145F620F055D8726B
SRR12458807,2020-08-16 16:09:40,2020-08-16 16:05:58,486184,142061725,0,292,99,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12458807/SRR12458807.1,SRX8953085,S17,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208249,SAMN15793292,simple,646099,human metagenome,S17,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,38B1EEB07EED739E4C90C51F2AC3DB36,6546A1F7902AC37FA14ABC23C05C7D63
SRR12458806,2020-08-16 16:09:40,2020-08-16 16:05:54,97228,29966272,0,308,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR12458806/SRR12458806.1,SRX8953086,S18,AMPLICON,RANDOM PCR,METAGENOMIC,SINGLE,0,0,OXFORD_NANOPORE,GridION,SRP217443,PRJNA558701,,558701,SRS7208250,SAMN15793293,simple,646099,human metagenome,S18,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SRA1113299,,public,463C9FC417F2AA0DA0FE1DC8FD6B1F6F,2782A022B77FCDC7B83411E4F87D8F61
