Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12072392,2020-06-23 00:51:16,2020-06-23 00:49:14,1067299,641805810,1067299,601,428,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12072392/SRR12072392.1,SRX8599954,07B16CRGN017,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890409,SAMN15315370,simple,158836,Enterobacter hormaechei,07B16CRGN017,,,,,,,no,,,,,NML,SRA1090020,,public,F864B3DB084D1A2AC407BA2C40869BF7,958D09332B273CEF0CB132ADE4FE51FA
SRR12072398,2020-06-23 01:05:33,2020-06-23 01:04:00,953166,573320533,953166,601,381,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12072398/SRR12072398.1,SRX8599961,N17-01044,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890416,SAMN15315343,simple,208224,Enterobacter kobei,N17-01044,,,,,,,no,,,,,NML,SRA1090022,,public,D16F0BC9F69A633B68B29BF1BCC36B51,6755DE4EBD58B9E28F1F114FCB18E944
SRR12072400,2020-06-23 01:07:36,2020-06-23 01:04:19,952917,573167450,952917,601,380,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12072400/SRR12072400.1,SRX8599959,N17-01045,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890414,SAMN15315344,simple,208224,Enterobacter kobei,N17-01045,,,,,,,no,,,,,NML,SRA1090022,,public,00CCEE8114D3450EAF93EF5BEA9471C5,681A525EBFB2A381E37C9A2F7F0C765F
SRR12072402,2020-06-23 01:05:33,2020-06-23 01:03:58,861707,518284730,861707,601,360,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12072402/SRR12072402.1,SRX8599957,N17-01046,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890412,SAMN15315347,simple,158836,Enterobacter hormaechei,N17-01046,,,,,,,no,,,,,NML,SRA1090022,,public,68CD347EA301A2A570E1094379C12AE6,7A6D9F2FAAD25DB880457A706CA072C0
SRR12072397,2020-06-23 01:05:33,2020-06-23 01:03:53,779570,468832515,779570,601,322,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12072397/SRR12072397.1,SRX8599962,N17-01047,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890417,SAMN15315346,simple,546,Citrobacter freundii,N17-01047,,,,,,,no,,,,,NML,SRA1090022,,public,AFBEB622564EBFD754C8D212C5941007,012B51D554C5FE5E2818EBE361EF4C43
SRR12072399,2020-06-23 01:05:33,2020-06-23 01:03:46,767866,461823763,767866,601,316,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR12072399/SRR12072399.1,SRX8599960,N17-01048,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890415,SAMN15315345,simple,158836,Enterobacter hormaechei,N17-01048,,,,,,,no,,,,,NML,SRA1090022,,public,D3C31F3979B65BA845B1C6F761BFC78D,C4E436BDAB287FFB660555868F9E35FF
SRR12072395,2020-06-23 01:05:33,2020-06-23 01:03:54,771921,464284833,771921,601,324,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR12072395/SRR12072395.1,SRX8599964,N17-01374,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890419,SAMN15315340,simple,1812935,Enterobacter roggenkampii,N17-01374,,,,,,,no,,,,,NML,SRA1090022,,public,14B4484DBBC9E768DC4460A18FC15DB4,29F3445DAB86F2A6D4CA497F4435F74F
SRR12072393,2020-06-23 01:04:12,2020-06-23 01:02:37,950466,571564334,950466,601,391,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR12072393/SRR12072393.1,SRX8599966,N17-01377,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890421,SAMN15315339,simple,546,Citrobacter freundii,N17-01377,,,,,,,no,,,,,NML,SRA1090022,,public,9B3BA130C367845DCD13F905C22CB2E5,D7FB6B6685F1BBDC3DA700CB04E70EE1
SRR12072404,2020-06-23 01:05:33,2020-06-23 01:03:53,1278014,768703448,1278014,601,499,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR12072404/SRR12072404.1,SRX8599955,N17-01381,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890410,SAMN15315337,simple,571,Klebsiella oxytoca,N17-01381,,,,,,,no,,,,,NML,SRA1090022,,public,6511F9465187E9E3AC83D902CC520E92,D59325712E8B8E60966B52A2530B94AC
SRR12072394,2020-06-23 01:07:36,2020-06-23 01:04:21,1208490,726778549,1208490,601,466,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR12072394/SRR12072394.1,SRX8599965,N17-01382,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP268381,PRJNA640134,,640134,SRS6890420,SAMN15315336,simple,546,Citrobacter freundii,N17-01382,,,,,,,no,,,,,NML,SRA1090022,,public,85234CC8C07E9A14E167F0CDF0C46174,3B3CF0CF3472DFEE7ACF994BB1277B69
