Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1162491,2014-02-06 02:09:08,2014-02-06 02:12:16,3420208,690882016,3420208,202,364,assembly,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1162491/SRR1162491.1,SRX463199,Solexa-213220,WGS,RANDOM,GENOMIC,PAIRED,573,168.352,ILLUMINA,Illumina HiSeq 2000,SRP036432,PRJNA229624,,229624,SRS551949,SAMN02419585,simple,1427229,Mycobacterium tuberculosis XTB13-140,XTB13-140,,,,,,,no,,,,,BI,SRA136063,,public,0BC389772021E6FD54065238AF995FE0,CFB29626B1A2D4D4DF0731FF99E5376F
ERR036228,2011-11-03 23:25:18,2014-08-31 15:39:23,3312077,496811550,0,150,226,GCA_000195955.1,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR036228/ERR036228.4,ERX1995637,NT230613Q,WGS,RANDOM,GENOMIC,PAIRED,298,79,ILLUMINA,Illumina HiSeq 2000,ERP000436,PRJEB2358,,203880,ERS019782,SAMEA897862,simple,1773,Mycobacterium tuberculosis,SAMEA897862,,,,,,,no,,,,,SC,ERA034040,,public,BB87287CCD3C5100A22256F799CB8C49,521EB078A7B532015068217BDCCAB977
ERR040132,2011-11-03 23:27:08,2014-09-02 02:42:41,10822492,1623373800,10822492,150,972,GCA_000195955.1,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR040132/ERR040132.5,ERX017269,2517676,WGS,RANDOM,GENOMIC,PAIRED,254,76,ILLUMINA,Illumina HiSeq 2000,ERP000520,PRJEB2424,,204196,ERS023455,SAMEA787720,simple,1773,Mycobacterium tuberculosis,SAMEA787720,,,,,,,no,,,,,SC,ERA041421,,public,391062D669289896B942A25C83BF7441,782F7FDAB3EB7FE636CC36AA1EC40124
ERR040133,2011-11-03 23:27:08,2014-09-02 02:43:25,9138258,1370738700,9138258,150,795,GCA_000195955.1,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR040133/ERR040133.5,ERX017270,2517700,WGS,RANDOM,GENOMIC,PAIRED,253,78,ILLUMINA,Illumina HiSeq 2000,ERP000520,PRJEB2424,,204196,ERS023456,SAMEA787723,simple,1773,Mycobacterium tuberculosis,SAMEA787723,,,,,,,no,,,,,SC,ERA041421,,public,4FED62E2F90563A7B43C836CE8B6A8B2,05B37660462842B63D286AA49DD47BED
ERR046855,2011-11-03 23:12:46,2014-09-04 01:32:36,5398219,809732850,5398219,150,499,GCA_000195955.1,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/ERR046855/ERR046855.5,ERX023917,2802546,WGS,RANDOM,GENOMIC,PAIRED,234,66,ILLUMINA,Illumina HiSeq 2000,ERP000276,PRJEB2221,,203976,ERS031504,SAMEA1018864,simple,1773,Mycobacterium tuberculosis,SAMEA1018864,,,,,,,no,,,,,SC,ERA052545,,public,BFC5DA8C7052D7409342FC2524F79BC5,EED91719CECEAFA8DFF7DEC953C46959
ERR1034587,2015-10-27 04:36:28,2015-12-10 06:09:21,70564682,14254065764,70564682,202,9356,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/ERR1034587/ERR1034587.1,ERX1113385,unspecified,WGS,unspecified,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina MiSeq,ERP011639,PRJEB10385,,297845,ERS865269,SAMEA3558120,simple,1773,Mycobacterium tuberculosis,SAMEA3558120,,,,,,,no,,,,,LSHTM,ERA490338,,public,8938449B5A878C032F702CAAAC6C35C8,2B00940292076789946893787CE4761F
ERR1034610,2015-10-27 04:36:28,2015-12-10 05:42:59,12991282,2624238964,12991282,202,1644,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/ERR1034610/ERR1034610.1,ERX1113408,unspecified,WGS,unspecified,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina MiSeq,ERP011639,PRJEB10385,,297845,ERS865292,SAMEA3558143,simple,1773,Mycobacterium tuberculosis,SAMEA3558143,,,,,,,no,,,,,LSHTM,ERA490338,,public,D77CEC999DF05361880132A9F96D6EFF,C779C75F884EB68C18F3CB9684FC4EA7
ERR1035363,2015-10-28 13:11:22,2015-12-10 04:15:59,2682205,541805410,2682205,202,349,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/ERR1035363/ERR1035363.1,ERX1114161,unspecified,WGS,unspecified,GENOMIC,PAIRED,350,0,ILLUMINA,Illumina MiSeq,ERP011639,PRJEB10385,,297845,ERS866045,SAMEA3558896,simple,1773,Mycobacterium tuberculosis,SAMEA3558896,,,,,,,no,,,,,LSHTM,ERA490338,,public,3E8045C5B52C8B3215DF60D59F01EC5E,7DBA016DBE17D201421C556628B02F7B
ERR1679637,2016-12-13 12:47:29,2016-12-14 22:09:55,500688,158380263,500688,316,78,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/ERR1679637/ERR1679637.1,ERX1749307,unspecified,WGS,other,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina MiSeq,ERP017693,PRJEB15857,,357225,ERS1400509,SAMEA4501330,simple,33894,Mycobacterium tuberculosis variant africanum,SAMEA4501330,,,,,,,no,,,,,BIRMINGHAM UNIVERSITY,ERA731015,,public,4A307522000AC54E9A7E1EB6D49FE895,091F1054641997DA8004A06AD44B4070
ERR181983,2012-10-23 12:17:36,2012-10-23 12:16:50,1817232,363446400,1817232,200,173,GCA_000195955.1,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR181983/ERR181983.1,ERX158093,5656867,WGS,RANDOM,GENOMIC,PAIRED,266,85,ILLUMINA,Illumina HiSeq 2000,ERP001072,PRJEB2794,,204548,ERS142118,SAMEA1556744,simple,1773,Mycobacterium tuberculosis,SAMEA1556744,,,,,,,no,,,,,SC,ERA168705,,public,D8863BDD1E138758021FC813B585C536,A656CD2BC38032DA36CE7C317B525B38
